Date,BBDC4.SA,ITUB4.SA,PETR4.SA,VALE3.SA
2022-10-06,15.435317993164062,19.619298934936523,17.565223693847656,55.86792755126953
2022-10-07,15.067285537719727,19.659528732299805,17.54956817626953,56.075862884521484
2022-10-10,14.839098930358887,19.451677322387695,17.351266860961914,54.94706344604492
2022-10-11,14.80229663848877,19.317564010620117,17.22080421447754,54.575748443603516
2022-10-13,14.588838577270508,19.203582763671875,17.711334228515625,53.602909088134766
2022-10-14,14.493149757385254,19.21028709411621,17.439979553222656,51.85772705078125
2022-10-17,14.596203804016113,19.364503860473633,17.42432403564453,52.67462158203125
2022-10-18,14.706610679626465,19.840572357177734,17.852231979370117,53.43952178955078
2022-10-19,14.772849082946777,19.84727668762207,18.483661651611328,52.80828857421875
2022-10-20,14.942156791687012,20.155717849731445,19.031597137451172,53.48408889770508
2022-10-21,15.258660316467285,20.826231002807617,19.683902740478516,55.051025390625
2022-10-24,14.610922813415527,19.880800247192383,17.873109817504883,53.4172477722168
2022-10-25,14.522587776184082,19.719877243041992,17.49738311767578,53.4172477722168
2022-10-26,13.889577865600586,19.297454833984375,17.069475173950195,54.60544967651367
2022-10-27,14.147195816040039,19.6528263092041,17.199932098388672,52.65977096557617
2022-10-28,14.228168487548828,19.807039260864258,16.996414184570312,50.09027099609375
2022-10-31,14.6182861328125,20.383691787719727,15.55612850189209,49.85263442993164
2022-11-01,14.699240684509277,20.435789108276367,15.582221031188965,51.367591857910156
2022-11-03,14.447991371154785,20.28818702697754,15.629183769226074,49.867488861083984
2022-11-04,14.293269157409668,20.36199378967285,14.768144607543945,53.65488815307617
2022-11-07,13.82174301147461,19.8990535736084,14.168025016784668,53.3726921081543
2022-11-08,13.689119338989258,19.838682174682617,14.2723970413208,54.991615295410156
2022-11-09,11.309365272521973,18.8859920501709,14.037564277648926,54.3232536315918
2022-11-10,10.977822303771973,18.530412673950195,13.630528450012207,55.3629264831543
2022-11-11,11.162013053894043,17.93330955505371,14.084531784057617,61.11830139160156
2022-11-14,11.169382095336914,17.879636764526367,14.455038070678711,61.86835479736328
2022-11-16,11.206215858459473,17.624692916870117,14.168025016784668,61.222267150878906
2022-11-17,11.449350357055664,17.73204231262207,14.173246383666992,61.712406158447266
2022-11-18,11.500926971435547,17.8729248046875,13.933197975158691,60.026641845703125
2022-11-21,11.419878959655762,17.92660140991211,13.974944114685059,59.3508415222168
2022-11-22,11.375673294067383,17.631404876708984,13.025115966796875,59.51421356201172
2022-11-23,11.294628143310547,17.45024871826172,13.086527824401855,60.10090255737305
2022-11-24,11.523030281066895,18.074193954467773,13.538750648498535,60.487064361572266
2022-11-25,11.309365272521973,17.43683433532715,13.321016311645508,60.07861328125
2022-11-28,11.294628143310547,17.121511459350586,13.600164413452148,60.37567901611328
2022-11-29,11.427248001098633,17.269107818603516,14.16962718963623,62.7075309753418
2022-11-30,11.478819847106934,17.443544387817383,14.884251594543457,63.650665283203125
2022-12-01,11.34620189666748,17.441972732543945,14.286870002746582,63.999698638916016
2022-12-02,11.338072776794434,17.676944732666016,14.465524673461914,64.46012878417969
2022-12-05,10.917597770690918,17.15999412536621,14.303621292114258,64.39329528808594
2022-12-06,11.175786018371582,17.556100845336914,14.314786911010742,65.32899475097656
2022-12-07,11.050378799438477,17.428537368774414,14.152876853942871,63.00457763671875
2022-12-08,10.733177185058594,16.817602157592773,13.834648132324219,63.776912689208984
2022-12-09,10.548760414123535,16.657516479492188,13.79556941986084,65.90081787109375
2022-12-12,10.430730819702148,16.500049591064453,13.348928451538086,63.932861328125
2022-12-13,10.120908737182617,15.877018928527832,13.019533157348633,64.20262145996094
2022-12-14,10.334830284118652,15.945483207702637,11.986679077148438,64.74658203125
2022-12-15,10.209426879882812,16.03447914123535,12.304908752441406,64.95520782470703
2022-12-16,10.19467544555664,16.212493896484375,12.310492515563965,63.84494400024414
2022-12-19,10.474991798400879,16.69859504699707,12.494729995727539,63.61394119262695
2022-12-20,10.851207733154297,16.876605987548828,12.87995433807373,63.8971061706543
2022-12-21,10.939726829528809,16.9450626373291,13.15910816192627,64.2622299194336
2022-12-22,10.97661018371582,16.979299545288086,13.393589973449707,63.8971061706543
2022-12-23,11.168405532836914,17.246322631835938,14.024471282958984,64.32185363769531
2022-12-26,10.902844429016113,16.903989791870117,13.923977851867676,64.9105224609375
2022-12-27,10.851207733154297,16.808143615722656,14.018889427185059,66.46044158935547
2022-12-28,11.183159828186035,17.15046501159668,13.84581470489502,66.3114013671875
2022-12-29,11.175786018371582,17.116233825683594,13.678323745727539,66.22943115234375
2023-01-02,10.880716323852539,16.778905868530273,12.796211242675781,66.6169204711914
2023-01-03,10.340758323669434,16.429489135742188,12.472400665283203,66.49768829345703
2023-01-04,10.370302200317383,16.47745132446289,12.868790626525879,66.6169204711914
2023-01-05,10.8208646774292,16.991294860839844,13.332178115844727,67.73466491699219
2023-01-06,11.123702049255371,17.285911560058594,13.25401782989502,68.80767822265625
2023-01-09,11.264631271362305,17.409225463867188,13.3265962600708,68.88220977783203
2023-01-10,11.602724075317383,17.744951248168945,13.449424743652344,69.73167419433594
2023-01-11,11.833239555358887,18.053253173828125,13.555501937866211,69.48577880859375
2023-01-12,11.55661678314209,17.799760818481445,13.750903129577637,69.85089111328125
2023-01-13,11.518197059631348,17.7106876373291,13.717405319213867,69.91050720214844
2023-01-16,11.164738655090332,17.51885414123535,13.4215087890625,68.74061584472656
2023-01-17,11.241575241088867,17.88196563720703,14.247791290283203,68.65119171142578
2023-01-18,11.410626411437988,18.203990936279297,13.99655532836914,69.55284118652344
2023-01-19,11.433676719665527,18.203990936279297,14.45435905456543,69.85089111328125
2023-01-20,11.27231502532959,17.88196563720703,14.722343444824219,70.03718566894531
2023-01-23,10.795913696289062,17.3338623046875,14.956830024719238,70.26818084716797
2023-01-24,10.911171913146973,17.491445541381836,14.850752830505371,71.01334381103516
2023-01-25,10.834329605102539,17.553110122680664,15.040573120117188,71.68397521972656
2023-01-26,10.865067481994629,17.450342178344727,14.655344009399414,73.02526092529297
2023-01-27,10.542341232299805,17.080368041992188,14.303621292114258,71.02824401855469
2023-01-30,10.596129417419434,17.087217330932617,14.376197814941406,70.77489471435547
2023-01-31,10.772859573364258,17.354429244995117,14.554859161376953,70.42466735839844
2023-02-01,10.565393447875977,17.126564025878906,14.353864669799805,69.64224243164062
2023-02-02,10.726189613342285,17.28425407409668,13.689489364624023,66.42317962646484
2023-02-03,10.487656593322754,17.222536087036133,13.84023380279541,66.28160095214844
2023-02-06,10.44918441772461,17.229394912719727,14.392949104309082,65.45448303222656
2023-02-07,10.387632369995117,16.831745147705078,14.303621292114258,65.88666534423828
2023-02-08,10.895466804504395,18.223535537719727,14.54368782043457,66.11021423339844
2023-02-09,10.618468284606934,17.771038055419922,14.476694107055664,65.86431884765625
2023-02-10,9.748984336853027,17.688758850097656,14.917749404907227,64.67951202392578
2023-02-13,10.095237731933594,18.31266212463379,14.96241283416748,64.6124496459961
2023-02-14,10.187570571899414,18.08641242980957,14.906580924987793,64.90306091308594
2023-02-15,10.587684631347656,18.353801727294922,14.928915023803711,66.31886291503906
2023-02-16,10.787745475769043,18.490921020507812,14.990328788757324,66.46044158935547
2023-02-17,10.726189613342285,18.429222106933594,14.761425971984863,65.59606170654297
2023-02-22,10.618468284606934,18.08641242980957,14.381782531738281,65.09680938720703
2023-02-23,10.572298049926758,18.15496826171875,14.822836875915527,64.79129028320312
2023-02-24,10.233738899230957,17.599626541137695,14.459944725036621,63.3680419921875
2023-02-27,10.133711814880371,17.37337875366211,14.599520683288574,63.3680419921875
2023-02-28,10.06445598602295,17.43507957458496,14.091465950012207,63.57669448852539
2023-03-01,9.987515449523926,17.152164459228516,14.124964714050293,66.46790313720703
2023-03-02,9.85572338104248,16.58958625793457,13.756485939025879,66.31886291503906
2023-03-03,9.90966510772705,16.610157012939453,14.348282814025879,66.54240417480469
2023-03-06,10.241015434265137,16.987512588500977,14.493441581726074,64.19515228271484
2023-03-07,10.47989559173584,17.035537719726562,14.013303756713867,63.584136962890625
2023-03-08,10.80354118347168,17.248226165771484,14.191961288452148,64.16536712646484
2023-03-09,10.765007972717285,16.918903350830078,14.130548477172852,63.323341369628906
2023-03-10,10.456775665283203,16.51411247253418,13.946307182312012,63.11469650268555
2023-03-13,10.341190338134766,16.315149307250977,13.505252838134766,63.37550354003906
2023-03-14,10.279546737670898,16.26026153564453,13.26518440246582,63.952457427978516
2023-03-15,10.425952911376953,16.219097137451172,13.030698776245117,62.02581024169922
2023-03-16,10.71877670288086,16.486669540405273,12.986037254333496,62.254268646240234
2023-03-17,10.27184009552002,16.013273239135742,13.12561321258545,63.00056076049805
2023-03-20,10.0946044921875,16.05443000793457,12.801796913146973,63.51838684082031
2023-03-21,10.125428199768066,16.383752822875977,13.064196586608887,62.985328674316406
2023-03-22,10.032959938049316,16.287696838378906,13.025115966796875,62.200958251953125
2023-03-23,9.686200141906738,15.882908821105957,12.729215621948242,60.601768493652344
2023-03-24,9.794078826904297,16.113304138183594,12.723633766174316,59.908790588378906
2023-03-27,9.971311569213867,16.390878677368164,12.94136905670166,59.809791564941406
2023-03-28,9.955904006958008,16.46721839904785,13.170272827148438,60.44184875488281
2023-03-29,10.009840965270996,16.626815795898438,13.343343734741211,61.30998611450195
2023-03-30,10.310367584228516,17.084815979003906,13.382426261901855,62.307579040527344
2023-03-31,10.148547172546387,17.168092727661133,13.092109680175781,61.1424560546875
2023-04-03,9.894253730773926,16.687294006347656,13.672741889953613,61.15768051147461
2023-04-04,10.117263793945312,17.0206298828125,13.54991626739502,59.42902374267578
2023-04-05,10.202153205871582,17.00673484802246,13.594578742980957,58.55327606201172
2023-04-06,10.055529594421387,16.95118522644043,13.399175643920898,58.44667053222656
2023-04-10,10.171282768249512,17.131738662719727,13.68390941619873,59.57371139526367
2023-04-11,10.703770637512207,17.687286376953125,14.32595157623291,62.71880340576172
2023-04-12,10.649751663208008,17.805334091186523,14.432026863098145,61.378509521484375
2023-04-13,10.657468795776367,17.805334091186523,14.53252124786377,60.548458099365234
2023-04-14,10.642032623291016,18.062274932861328,14.683263778686523,60.01539611816406
2023-04-17,10.595727920532227,18.027559280395508,14.912162780761719,59.2995719909668
2023-04-18,10.526276588439941,18.013675689697266,15.291807174682617,59.809791564941406
2023-04-19,10.333345413208008,17.728946685791016,14.800504684448242,58.065914154052734
2023-04-20,10.42595100402832,17.777557373046875,14.9010009765625,56.85509490966797
2023-04-24,10.34106159210205,17.61783790588379,15.185733795166016,54.79898452758789
2023-04-25,10.572575569152832,17.777557373046875,15.124322891235352,53.30640411376953
2023-04-26,10.418232917785645,17.59701156616211,14.934499740600586,53.512020111083984
2023-04-27,10.618881225585938,17.909509658813477,14.571603775024414,54.64668655395508
2023-04-28,10.688333511352539,17.99978256225586,14.905025482177734,55.134063720703125
2023-05-02,10.533990859985352,17.303239822387695,14.301275253295898,52.95610809326172
2023-05-03,10.625933647155762,17.275449752807617,14.25096607208252,52.54488754272461
2023-05-04,10.873226165771484,17.4144229888916,14.477371215820312,50.91522979736328
2023-05-05,11.414185523986816,18.060691833496094,15.093697547912598,52.57535171508789
2023-05-08,11.839223861694336,18.310863494873047,15.41443920135498,53.28356170654297
2023-05-09,11.723304748535156,18.42204475402832,15.464747428894043,53.831851959228516
2023-05-10,11.746488571166992,18.693056106567383,15.427017211914062,52.81903076171875
2023-05-11,11.901044845581055,18.873737335205078,15.993026733398438,51.790985107421875
2023-05-12,11.955142974853516,18.70000648498535,16.508726119995117,51.84428405761719
